iter	Passed	Remaining
562	3173	2462
563	3177	2456
564	3181	2449
565	3184	2441
566	3189	2436
567	3194	2429
568	3197	2422
569	3200	2414
570	3205	2408
571	3208	2400
572	3210	2392
573	3213	2385
574	3218	2378
575	3223	2372
576	3225	2364
577	3229	2357
578	3235	2352
579	3238	2345
580	3241	2337
581	3245	2330
582	3250	2325
583	3253	2317
584	3256	2309
585	3258	2302
586	3261	2294
587	3265	2288
588	3268	2280
589	3271	2273
590	3273	2265
591	3276	2258
592	3281	2251
593	3283	2244
594	3286	2236
595	3289	2229
596	3291	2222
597	3295	2215
598	3298	2208
599	3301	2200
600	3304	2193
601	3307	2186
602	3313	2181
603	3316	2174
604	3319	2167
605	3322	2160
606	3329	2155
607	3333	2149
608	3338	2143
609	3344	2138
610	3347	2131
611	3350	2124
612	3353	2117
613	3358	2111
614	3363	2105
615	3365	2098
616	3368	2091
617	3373	2085
618	3380	2080
619	3386	2075
620	3391	2070
621	3394	2062
622	3397	2055
623	3400	2048
624	3405	2043
625	3410	2037
626	3413	2030
627	3421	2026
628	3424	2020
629	3427	2012
630	3430	2005
631	3434	2000
632	3438	1993
633	3441	1986
634	3444	1979
635	3447	1973
636	3452	1967
637	3455	1960
638	3459	1954
639	3461	1947
640	3466	1941
641	3469	1934
642	3471	1927
643	3475	1921
644	3479	1915
645	3482	1908
646	3485	1901
647	3488	1894
648	3491	1888
649	3496	1882
650	3499	1875
651	3501	1869
652	3504	1862
653	3507	1855
654	3511	1849
655	3514	1842
656	3516	1836
657	3519	1829
658	3522	1822
659	3526	1816
660	3529	1809
661	3531	1803
662	3534	1796
663	3537	1790
664	3542	1784
665	3545	1778
666	3548	1771
667	3551	1765
668	3554	1758
669	3559	1753
670	3562	1746
671	3565	1740
672	3568	1733
673	3572	1728
674	3576	1722
675	3579	1715
676	3582	1709
677	3585	1703
678	3591	1697
679	3594	1691
680	3597	1685
681	3601	1679
682	3607	1674
683	3610	1667
684	3612	1661
685	3616	1655
686	3621	1649
687	3624	1643
688	3626	1637
689	3629	1630
690	3636	1626
691	3639	1619
692	3642	1613
693	3645	1607
694	3650	1602
695	3654	1596
696	3657	1589
697	3668	1587
698	3671	1581
699	3674	1574
700	3682	1570
701	3686	1565
702	3689	1558
703	3692	1552
704	3699	1547
705	3702	1541
706	3704	1535
707	3707	1529
708	3712	1523
709	3716	1518
710	3719	1511
711	3722	1505
712	3725	1499
713	3730	1494
714	3732	1487
715	3735	1481
716	3737	1475
717	3740	1469
718	3746	1464
719	3749	1457
720	3751	1451
721	3754	1445
722	3758	1439
723	3762	1434
724	3765	1428
725	3768	1422
726	3770	1416
727	3777	1411
728	3781	1405
729	3784	1399
730	3787	1393
731	3792	1388
732	3795	1382
733	3798	1376
734	3801	1370
735	3804	1364
736	3809	1359
737	3812	1353
738	3815	1347
739	3818	1341
740	3823	1336
741	3826	1330
742	3828	1324
743	3831	1318
744	3836	1313
745	3839	1307
746	3842	1301
747	3845	1295
748	3848	1289
749	3855	1285
750	3858	1279
751	3861	1273
752	3864	1267
753	3869	1262
754	3872	1256
755	3875	1250
756	3878	1244
757	3882	1239
758	3886	1234
759	3889	1228
760	3892	1222
761	3896	1217
762	3900	1211
763	3903	1205
764	3906	1199
765	3909	1194
766	3915	1189
767	3918	1183
768	3922	1178
769	3925	1172
770	3929	1167
771	3932	1161
772	3935	1155
773	3938	1149
774	3941	1144
775	3946	1139
776	3948	1133
777	3952	1127
778	3955	1122
779	3960	1117
780	3963	1111
781	3967	1106
782	3970	1100
783	3975	1095
784	3979	1089
785	3981	1084
786	3984	1078
787	3989	1073
788	3993	1067
789	3995	1062
790	3999	1056
791	4002	1051
792	4007	1046
793	4010	1040
794	4013	1034
795	4016	1029
796	4019	1023
797	4022	1018
798	4025	1012
799	4028	1007
800	4031	1001
801	4034	995
802	4037	990
803	4041	985
804	4043	979
805	4046	973
806	4050	968
807	4055	963
808	4057	958
809	4060	952
810	4063	946
811	4067	941
812	4070	936
813	4073	930
814	4076	925
815	4078	919
816	4082	914
817	4086	909
818	4088	903
819	4091	898
820	4094	892
821	4099	887
822	4102	882
823	4104	876
824	4107	871
825	4110	865
826	4115	860
827	4118	855
828	4121	850
829	4124	844
830	4127	839
831	4131	834
832	4134	828
833	4137	823
834	4141	818
835	4147	813
836	4151	808
837	4155	803
838	4160	798
839	4165	793
840	4169	788
841	4177	783
842	4181	778
843	4184	773
844	4187	768
845	4192	763
846	4194	757
847	4197	752
848	4200	747
849	4205	742
850	4209	736
851	4212	731
852	4215	726
853	4222	721
854	4225	716
855	4228	711
856	4232	706
857	4238	701
858	4241	696
859	4244	690
860	4248	685
861	4258	681
862	4264	676
863	4272	672
864	4275	667
865	4280	662
866	4287	657
867	4290	652
868	4293	647
869	4297	642
870	4303	637
871	4306	632
872	4310	627
873	4320	622
874	4323	617
875	4326	612
876	4329	607
877	4333	602
878	4336	596
879	4339	591
880	4342	586
881	4348	581
882	4352	576
883	4355	571
884	4358	566
885	4363	561
886	4366	556
887	4369	551
888	4373	546
889	4378	541
890	4381	536
891	4384	530
892	4388	525
893	4395	521
894	4398	516
895	4401	510
896	4404	505
897	4410	500
898	4413	495
899	4416	490
900	4419	485
901	4427	481
902	4430	475
903	4433	470
904	4438	465
905	4444	461
906	4447	455
907	4450	450
908	4457	446
909	4461	441
910	4463	436
911	4466	431
912	4473	426
913	4476	421
914	4480	416
915	4482	411
916	4491	406
917	4494	401
918	4497	396
919	4503	391
920	4507	386
921	4510	381
922	4513	376
923	4519	371
924	4522	366
925	4525	361
926	4528	356
927	4536	351
928	4539	346
929	4542	341
930	4546	336
931	4553	332
932	4556	327
933	4558	322
934	4563	317
935	4567	312
936	4570	307
937	4574	302
938	4579	297
939	4584	292
940	4587	287
941	4590	282
942	4601	278
943	4605	273
944	4610	268
945	4614	263
946	4617	258
947	4620	253
948	4629	248
949	4632	243
950	4635	238
951	4640	233
952	4644	229
953	4647	224
954	4650	219
955	4654	214
956	4658	209
957	4661	204
958	4664	199
959	4667	194
960	4674	189
961	4677	184
962	4680	179
963	4683	174
964	4688	170
965	4691	165
966	4693	160
967	4696	155
968	4700	150
969	4704	145
970	4707	140
971	4710	135
972	4713	130
973	4719	125
974	4722	121
975	4725	116
976	4728	111
977	4731	106
978	4735	101
979	4738	96
980	4740	91
981	4743	86
982	4747	82
983	4750	77
984	4753	72
985	4756	67
986	4759	62
987	4765	57
988	4767	53
989	4770	48
990	4773	43
991	4777	38
992	4780	33
993	4783	28
994	4786	24
995	4789	19
996	4793	14
997	4796	9
998	4799	4
999	4803	0
